feature,importance
v_dpc_YW,0.0
v_dpc_YY,0.0
h_aac_W,0.0
h_aac_Y,0.0
h_dpc_AC,0.0
h_dpc_AD,0.0
h_dpc_AF,0.0
h_dpc_AG,0.0
h_dpc_AH,0.0
h_dpc_AI,0.0
h_dpc_AK,0.0
h_dpc_AL,0.0
h_dpc_AM,0.0
h_dpc_AN,0.0
h_dpc_AQ,0.0
v_aac_I,0.0
v_aac_L,0.0
h_dpc_AV,0.0
h_dpc_AW,0.0
h_dpc_AY,0.0
h_dpc_CA,0.0
h_dpc_CD,0.0
h_dpc_CE,0.0
h_dpc_CF,0.0
h_dpc_CG,0.0
h_dpc_CH,0.0
h_dpc_CI,0.0
h_dpc_CK,0.0
h_dpc_CL,0.0
h_dpc_CM,0.0
h_dpc_CN,0.0
h_dpc_CQ,0.0
h_dpc_CR,0.0
h_dpc_CS,0.0
v_aac_Q,0.0
h_dpc_CV,0.0
h_dpc_DA,0.0
h_dpc_DC,0.0
h_dpc_DD,0.0
v_aac_T,0.0
h_dpc_DG,0.0
h_dpc_DH,0.0
h_dpc_DI,0.0
v_aac_V,0.0
h_dpc_DL,0.0
h_dpc_DM,0.0
h_dpc_DN,0.0
h_dpc_YL,0.0
h_dpc_DQ,0.0
h_dpc_DR,0.0
h_dpc_DS,0.0
h_dpc_YM,0.0
v_dpc_DT,0.0
v_dpc_DV,0.0
v_dpc_DW,0.0
v_dpc_DY,0.0
v_dpc_EA,0.0
v_dpc_EC,0.0
v_dpc_ED,0.0
v_dpc_EE,0.0
v_dpc_EF,0.0
v_dpc_EG,0.0
v_dpc_EH,0.0
v_dpc_EI,0.0
v_dpc_EK,0.0
v_dpc_EL,0.0
h_dpc_DT,0.0
h_dpc_DV,0.0
h_dpc_DW,0.0
h_dpc_DY,0.0
h_dpc_EC,0.0
h_dpc_ED,0.0
h_dpc_EE,0.0
h_dpc_EF,0.0
h_dpc_EH,0.0
h_dpc_EI,0.0
h_dpc_EK,0.0
h_dpc_EL,0.0
h_dpc_EM,0.0
h_dpc_EN,0.0
h_dpc_ER,0.0
h_dpc_ES,0.0
h_dpc_ET,0.0
h_dpc_EV,0.0
h_dpc_EW,0.0
h_dpc_EY,0.0
h_dpc_FA,0.0
h_dpc_FC,0.0
h_dpc_FD,0.0
h_dpc_FE,0.0
h_dpc_FF,0.0
h_dpc_FG,0.0
h_dpc_FH,0.0
h_dpc_FI,0.0
h_dpc_FK,0.0
h_dpc_FL,0.0
h_dpc_FN,0.0
h_dpc_FP,0.0
h_dpc_FQ,0.0
h_dpc_FR,0.0
h_dpc_FS,0.0
h_dpc_FT,0.0
h_dpc_FV,0.0
h_dpc_FW,0.0
h_dpc_FY,0.0
h_dpc_GA,0.0
h_dpc_GD,0.0
h_dpc_GE,0.0
h_dpc_YW,0.0
h_dpc_GG,0.0
h_dpc_GH,0.0
h_dpc_GI,0.0
h_dpc_GK,0.0
h_dpc_GL,0.0
h_dpc_GM,0.0
h_dpc_GN,0.0
h_dpc_GP,0.0
h_dpc_GQ,0.0
h_dpc_GR,0.0
h_dpc_GS,0.0
h_dpc_GV,0.0
h_dpc_GW,0.0
h_dpc_GY,0.0
h_dpc_HA,0.0
h_dpc_HC,0.0
